priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,series,meta
1,NIFTY 500,NIFTY 500,23676.8,23687.35,23542.55,23570.15,23725.2,-155.04999999999927,-0.65,2005039310.62,24035.0,19519.85,2091910465,0,607543190607.69,16-Dec-2025 16:00:00,1.9340545038485482,-20.749647154050894,0.9,-1.12,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,,
0,KIRLOSENG,KIRLOSENGEQN,1136.1,1263.7,1136.1,1250.8,1136.1,114.7,10.1,103803773573.19,1263.7,544.4,4788476,0,5809810046.04,,1.0208119015589214,-129.75753122703895,9.7,12.37,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/KIRLOSENGEQN.svg,https://nsearchives.nseindia.com/30d/KIRLOSENG-EQ.svg,https://nsearchives.nseindia.com/365d/KIRLOSENG-EQ.svg,EQ,"{'symbol': 'KIRLOSENG', 'companyName': 'Kirloskar Oil Engines Limited', 'industry': 'Compressors Pumps & Diesel Engines', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['BE'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE146L01010', 'slb_isin': 'INE146L01010', 'listingDate': '2010-12-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,THELEELA,THELEELAEQN,398.7,417.0,394.05,416.45,395.2,21.25,5.38,25968273231.73,474.4,382.5,403671,0,165101439.0,,12.215430016863404,-8.87581699346405,0.0,-3.36,,14-Nov-2025,https://nsearchives.nseindia.com/today/THELEELAEQN.svg,https://nsearchives.nseindia.com/30d/THELEELA-EQ.svg,,EQ,"{'symbol': 'THELEELA', 'companyName': 'Leela Palaces Hotels & Resorts Limited', 'industry': 'Hotels & Resorts', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE0AQ201015', 'slb_isin': 'INE0AQ201015', 'listingDate': '2025-06-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,RELINFRA,RELINFRABEN,145.0,149.65,143.2,149.65,142.53,7.12,5.0,42894769480.18,423.4,128.38,1023616,0,152088865.28,,64.65517241379311,-16.568001246300053,-49.22,-19.79,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/RELINFRABEN.svg,https://nsearchives.nseindia.com/30d/RELINFRA-BE.svg,https://nsearchives.nseindia.com/365d/RELINFRA-BE.svg,BE,"{'symbol': 'RELINFRA', 'companyName': 'Reliance Infrastructure Limited', 'industry': 'Integrated Power Utilities', 'activeSeries': ['BE', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE036A01016', 'listingDate': '1995-02-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,AIIL,AIILEQN,2681.2,2848.8,2671.2,2810.0,2686.0,124.0,4.62,119052732618.49,3318.7,1325.5,243713,0,680631917.88,,15.3282911983608,-111.9954734062618,53.45,1.22,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/AIILEQN.svg,https://nsearchives.nseindia.com/30d/AIIL-EQ.svg,https://nsearchives.nseindia.com/365d/AIIL-EQ.svg,EQ,"{'symbol': 'AIIL', 'companyName': 'Authum Investment & Infrastructure Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE206F01022', 'slb_isin': 'INE206F01022', 'listingDate': '2024-04-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,TRIVENI,TRIVENIEQN,355.1,376.85,355.1,372.15,356.0,16.15,4.54,31736308319.48,536.0,313.1,1995577,0,741676147.82,,30.569029850746276,-18.85978920472691,-18.7,2.23,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/TRIVENIEQN.svg,https://nsearchives.nseindia.com/30d/TRIVENI-EQ.svg,https://nsearchives.nseindia.com/365d/TRIVENI-EQ.svg,EQ,"{'symbol': 'TRIVENI', 'companyName': 'Triveni Engineering & Industries Limited', 'industry': 'Sugar', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['BE'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE256C01024', 'slb_isin': 'INE256C01024', 'listingDate': '2005-12-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,LTFOODS,LTFOODSEQN,382.0,402.7,381.05,401.0,383.8,17.2,4.48,54970267435.27,518.55,288.25,886461,0,350905586.85,,22.668980811879273,-39.1153512575889,-6.99,-2.8,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/LTFOODSEQN.svg,https://nsearchives.nseindia.com/30d/LTFOODS-EQ.svg,https://nsearchives.nseindia.com/365d/LTFOODS-EQ.svg,EQ,"{'symbol': 'LTFOODS', 'companyName': 'LT Foods Limited', 'industry': 'Other Agricultural Products', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE818H01020', 'slb_isin': 'INE818H01020', 'listingDate': '2006-12-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,VEDL,VEDLEQN,548.0,572.9,545.2,572.5,549.4,23.1,4.2,968498450406.58,572.9,363.0,34011443,0,19074977692.12,,0.06982021295164553,-57.71349862258953,9.62,8.4,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/VEDLEQN.svg,https://nsearchives.nseindia.com/30d/VEDL-EQ.svg,https://nsearchives.nseindia.com/365d/VEDL-EQ.svg,EQ,"{'symbol': 'VEDL', 'companyName': 'Vedanta Limited', 'industry': 'Diversified Metals', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['P1', 'O1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE205A01025', 'slb_isin': 'INE205A01025', 'listingDate': '1998-05-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,NIVABUPA,NIVABUPAEQN,75.59,78.1,75.4,77.98,74.88,3.1,4.14,47973478551.06,95.21,68.54,5401221,0,417460371.09,,18.096838567377368,-13.77297928217099,-7.33,1.18,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/NIVABUPAEQN.svg,https://nsearchives.nseindia.com/30d/NIVABUPA-EQ.svg,https://nsearchives.nseindia.com/365d/NIVABUPA-EQ.svg,EQ,"{'symbol': 'NIVABUPA', 'companyName': 'Niva Bupa Health Insurance Company Limited', 'industry': 'General Insurance', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE995S01015', 'slb_isin': 'INE995S01015', 'listingDate': '2024-11-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
0,TTML,TTMLEQN,48.74,54.7,48.5,50.7,48.69,2.01,4.13,25411259821.54,86.6,44.52,133468601,0,7093856143.15,,41.45496535796766,-13.881401617250672,-39.8,-4.92,13-Dec-2024,14-Nov-2025,https://nsearchives.nseindia.com/today/TTMLEQN.svg,https://nsearchives.nseindia.com/30d/TTML-EQ.svg,https://nsearchives.nseindia.com/365d/TTML-EQ.svg,EQ,"{'symbol': 'TTML', 'companyName': 'Tata Teleservices (Maharashtra) Limited', 'industry': 'Telecom - Cellular & Fixed line services', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE517B01013', 'listingDate': '2000-10-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '16-Dec-2025 16:00:00', 'preOpenTime': '16-Dec-2025 09:07:17', 'QuotePreOpenFlag': False}}"
