priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,series,meta
1,NIFTY 500,NIFTY 500,23906.1,23929.25,23825.15,23895.15,23867.65,27.5,0.12,2031403461.96,24035.0,19519.85,2603971855,0,627589523757.11,23-Dec-2025 16:00:00,0.5818597878094385,-22.41461896479739,7.06,0.44,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,,
0,JWL,JWLEQN,311.0,358.25,302.85,335.0,310.45,24.55,7.91,45353034079.21,544.8,247.15,135725885,0,46047721003.95,,38.50954478707782,-35.54521545620069,-37.89,12.57,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/JWLEQN.svg,https://nsearchives.nseindia.com/30d/JWL-EQ.svg,https://nsearchives.nseindia.com/365d/JWL-EQ.svg,EQ,"{'symbol': 'JWL', 'companyName': 'Jupiter Wagons Limited', 'industry': 'Railway Wagons', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE209L01016', 'slb_isin': 'INE209L01016', 'listingDate': '2010-10-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,IRCON,IRCONEQN,157.96,177.38,156.55,168.8,156.81,11.99,7.65,54851095404.04,229.5,134.24,57599646,0,9844355497.86,,26.448801742919386,-25.74493444576877,-22.44,4.31,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/IRCONEQN.svg,https://nsearchives.nseindia.com/30d/IRCON-EQ.svg,https://nsearchives.nseindia.com/365d/IRCON-EQ.svg,EQ,"{'symbol': 'IRCON', 'companyName': 'Ircon International Limited', 'industry': 'Civil Construction', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE962Y01021', 'slb_isin': 'INE962Y01021', 'listingDate': '2018-09-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,IFCI,IFCIEQN,49.65,53.9,49.17,52.96,49.41,3.55,7.18,34752508212.37,74.5,36.2,44216427,0,2332416524.25,,28.91275167785235,-46.298342541436455,-13.12,0.86,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/IFCIEQN.svg,https://nsearchives.nseindia.com/30d/IFCI-EQ.svg,https://nsearchives.nseindia.com/365d/IFCI-EQ.svg,EQ,"{'symbol': 'IFCI', 'companyName': 'IFCI Limited', 'industry': 'Financial Institution', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['NC', 'ND', 'NE', 'NF', 'NG', 'NJ', 'NK', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE039A01010', 'slb_isin': 'INE039A01010', 'listingDate': '1995-04-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,GPIL,GPILEQN,242.5,260.31,241.26,258.31,241.3,17.01,7.05,63081214981.04,290.0,145.75,5839229,0,1486142172.79,,10.927586206896551,-77.22813036020584,18.34,7.14,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/GPILEQN.svg,https://nsearchives.nseindia.com/30d/GPIL-EQ.svg,https://nsearchives.nseindia.com/365d/GPIL-EQ.svg,EQ,"{'symbol': 'GPIL', 'companyName': 'Godawari Power And Ispat limited', 'industry': 'Iron & Steel Products', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['BE'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE177H01039', 'slb_isin': 'INE177H01039', 'listingDate': '2006-04-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,CHOLAFIN,CHOLAFINEQN,1605.0,1713.4,1595.8,1678.4,1584.9,93.5,5.9,707455104121.25,1782.0,1168.0,7716481,0,12987300511.86,,5.813692480359142,-43.69863013698631,41.1,1.13,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/CHOLAFINEQN.svg,https://nsearchives.nseindia.com/30d/CHOLAFIN-EQ.svg,https://nsearchives.nseindia.com/365d/CHOLAFIN-EQ.svg,EQ,"{'symbol': 'CHOLAFIN', 'companyName': 'Cholamandalam Investment and Finance Company Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ'], 'debtSeries': ['D1'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['W1', 'BE'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE121A01024', 'slb_isin': 'INE121A01024', 'listingDate': '1996-05-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,RAILTEL,RAILTELEQN,344.85,373.0,341.7,360.0,341.6,18.4,5.39,31372448186.28,478.95,265.5,10637411,0,3855742365.17,,24.835577826495456,-35.59322033898305,-10.47,4.81,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/RAILTELEQN.svg,https://nsearchives.nseindia.com/30d/RAILTEL-EQ.svg,https://nsearchives.nseindia.com/365d/RAILTEL-EQ.svg,EQ,"{'symbol': 'RAILTEL', 'companyName': 'Railtel Corporation Of India Limited', 'industry': 'Other Telecom Services', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE0DD101019', 'slb_isin': 'INE0DD101019', 'listingDate': '2021-02-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,ALOKINDS,ALOKINDSEQN,16.09,17.69,16.04,16.8,16.04,0.76,4.74,20799705842.98,23.5,14.01,45131740,0,772655388.8,,28.510638297872337,-19.914346895074956,-20.41,-0.94,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/ALOKINDSEQN.svg,https://nsearchives.nseindia.com/30d/ALOKINDS-EQ.svg,https://nsearchives.nseindia.com/365d/ALOKINDS-EQ.svg,EQ,"{'symbol': 'ALOKINDS', 'companyName': 'Alok Industries Limited', 'industry': 'Other Textile Products', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE270A01029', 'slb_isin': 'INE270A01029', 'listingDate': '2020-02-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,NLCINDIA,NLCINDIAEQN,241.0,253.2,240.0,252.0,241.08,10.92,4.53,81981389636.32,292.2,186.03,2572970,0,642136122.9,,13.757700205338807,-35.46202225447509,6.53,2.6,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/NLCINDIAEQN.svg,https://nsearchives.nseindia.com/30d/NLCINDIA-EQ.svg,https://nsearchives.nseindia.com/365d/NLCINDIA-EQ.svg,EQ,"{'symbol': 'NLCINDIA', 'companyName': 'NLC India Limited', 'industry': 'Power Generation', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE589A01014', 'slb_isin': 'INE589A01014', 'listingDate': '2000-08-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
0,IRFC,IRFCEQN,117.8,124.48,116.81,121.89,117.0,4.89,4.18,217185111249.78,158.0,108.04,55006061,0,6672785259.91,,22.854430379746834,-12.819326175490554,-18.2,1.94,20-Dec-2024,21-Nov-2025,https://nsearchives.nseindia.com/today/IRFCEQN.svg,https://nsearchives.nseindia.com/30d/IRFC-EQ.svg,https://nsearchives.nseindia.com/365d/IRFC-EQ.svg,EQ,"{'symbol': 'IRFC', 'companyName': 'Indian Railway Finance Corporation Limited', 'industry': 'Financial Institution', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'N3', 'N5', 'N7', 'N9', 'NB', 'ND', 'U1', 'U3'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE053F01010', 'slb_isin': 'INE053F01010', 'listingDate': '2021-01-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '23-Dec-2025 16:00:00', 'preOpenTime': '23-Dec-2025 09:07:04', 'QuotePreOpenFlag': False}}"
